GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
GNPS library ID	test			amino acid / peptide	flavonoid	primar	mycotoxin	environmental	environmental	plasticizer	selective serotonin reuptake inhibitor	not specified	yes	insect repellant	test	boolean	boolean	yes or no	yes or no	free text	free text
																					
red double check that name is no identitical (case differences are VALID)	orange double check common name	orange double check common name	orange double check common name	green is an acceptable entry	green is an acceptable entry		green is an acceptable entry	green is an acceptable entry	green is an acceptable entry	green is an acceptable entry					*something wrong here						
Pyropheophytin	Pyropheophytin						algae	algae	algae	algae								no	no		
Fucosterol	Fucosterol	InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h7,10,19-20,23-27,30H,8-9,11-18H2,1-6H3/b21-7+/t20-,23+,24+,25-,26+,27+,28+,29-/m1/s1	CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C	lipid	steroid		algae	algae	unknown	unknown							yes		yes		https://pubchem.ncbi.nlm.nih.gov/compound/Fucosterol#section=Top
MS_Contaminant_Sodium_Formate_Cluster	Sodium_Formate_Cluster	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact	analysis artifact						no	no		
12-Ketodeoxycholic acid	12-Ketolithocholic acid	InChI=1S/C24H38O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes	12-oxolithocholic acid	https://pubchem.ncbi.nlm.nih.gov/compound/12-Ketolithocholic_acid
Spectral Match to 12-Ketodeoxycholic acid from NIST14	12-Ketolithocholic acid	InChI=1S/C24H38O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes	12-oxolithocholic acid	https://pubchem.ncbi.nlm.nih.gov/compound/12-Ketolithocholic_acid
C9-PQS, NQNO	4-hydroxy-2-nonylquinoline 1-oxide or 2-nonylquinoline-3,4-diol					quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-nonylquinoline-3,4-diol:Series 3 HAQ C9	2-nonylquinoline-3,4-diol:Series 3 HAQ C9	InChI=1S/C18H25NO2/c1-2-3-4-5-6-7-8-13-16-18(21)17(20)14-11-9-10-12-15(14)19-16/h9-12,21H,2-8,13H2,1H3,(H,19,20)	OC1=C2C=CC=CC2=NC(CCCCCCCCC)=C1O			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-(hept-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C7:1	2-(hept-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C7:1	InChI=1S/C16H19NO/c1-2-3-4-5-6-9-13-12-16(18)14-10-7-8-11-15(14)17-13/h6-12H,2-5H2,1H3,(H,17,18)/b9-6+	OC1=C2C=CC=CC2=NC(/C=C/CCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
NHQ_C9:db	4-hydroxy-2-alkylquinoline_R=C9H17		OC1=CC([C9H17])=NC2=C1C=CC=C2			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029194/;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-(non-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C9:1	2-(non-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C9:1	InChI=1S/C18H23NO/c1-2-3-4-5-6-7-8-11-15-14-18(20)16-12-9-10-13-17(16)19-15/h8-14H,2-7H2,1H3,(H,19,20)/b11-8+	OC1=C2C=CC=CC2=NC(/C=C/CCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029194/;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
3,5,7,3',4'-Pentahydroxyflavanone	3,5,7,3',4'-Pentahydroxyflavanone	InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H	O=C1C(O)C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3	phytochemical	flavonoid	flavanone	bacteria	bacteria	bacteria modified	bacteria modified food						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5258991#section=Top
cis-9,10-methylene-hexadecanoic acid	9,10-methylene-hexadecanoic acid	InChI=1S/C17H32O2/c1-2-3-4-8-11-15-14-16(15)12-9-6-5-7-10-13-17(18)19/h15-16H,2-14H2,1H3,(H,18,19)	CCCCCCC1C(C1)CCCCCCCC(O)=O	lipid	fatty acid epoxidation	lipid	bacteria	bacteria	bacteria produced	multiple bacteria, species known						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/14345320#section=Top;http://www.jbc.org/content/236/10/2615.full.pdf
Borrelidin	Borrelidin	InChI=1S/C28H43NO6/c1-17-12-18(2)14-20(4)27(32)21(16-29)8-5-6-11-25(22-9-7-10-23(22)28(33)34)35-26(31)15-24(30)19(3)13-17/h5-6,8,17-20,22-25,27,30,32H,7,9-15H2,1-4H3,(H,33,34)/b6-5+,21-8-/t17-,18+,19-,20-,22+,23+,24-,25-,27+/m0/s1	CC1CC(CC(C(C(=CC=CCC(OC(=O)CC(C(C1)C)O)C2CCCC2C(=O)O)C#N)O)C)C	other	macrolide		bacteria	bacteria	bacteria produced	Streptomyces metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6436801#section=IUPAC-Name;PMID 18134558
C11:DB UHQ aka 2-undecenyl-quinoloin-4(1H)-one position of double bond unknown	4-hydroxy-2-alkylquinoline_R=C11H21		OC1=CC([C11H21])=NC2=C1C=CC=C2	other		quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029194/;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
Spectral Match to Deoxycholic acid from NIST14	Deoxycholic acid	InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/deoxycholic_acid
Enterolactone	Enterolactone	InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2	C1C(C(C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O	phytochemical	furan	furan	bacteria	bacteria	bacteria modified	bacteria modified food						yes	yes	yes	yes	gut bacteria food product	https://pubchem.ncbi.nlm.nih.gov/compound/10685477#section=Top
Spectral Match to Enterolactone from NIST14	Enterolactone	InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2	C1C(C(C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O	phytochemical	furan	furan	bacteria	bacteria	bacteria modified	bacteria modified food						yes	yes	yes	yes	gut bacteria food product	https://pubchem.ncbi.nlm.nih.gov/compound/10685477#section=Top
Massbank:EA066007 Galaxolidone|1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran-1-on	Galaxolidone	InChI=1S/C18H24O2/c1-10-9-20-16(19)13-8-15-14(7-12(10)13)17(3,4)11(2)18(15,5)6/h7-8,10-11H,9H2,1-6H3	O=C1C2=CC(C(C)(C)C(C)C3(C)C)=C3C=C2C(C)CO1	other		benzopyran	bacteria	bacteria	bacteria modified	bacteria modified xenobiotic						yes	yes	yes	yes	Galaxolidone, is a metabolite of galaxolide, a polycyclic musk widely used as a fragrance in personal care and consumer products including cosmetics, cleaning agents, detergents, air fresheners and perfumes.21 Galaxolidone results from the degradation of the parent compound galaxolide during biological activated sludge.	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83519;DOI: 10.1039/c4ew00104d
Massbank:EA066011 Galaxolidone|1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran-1-on	Galaxolidone	InChI=1S/C18H24O2/c1-10-9-20-16(19)13-8-15-14(7-12(10)13)17(3,4)11(2)18(15,5)6/h7-8,10-11H,9H2,1-6H3	O=C1C2=CC(C(C)(C)C(C)C3(C)C)=C3C=C2C(C)CO1	other		benzopyran	bacteria	bacteria	bacteria modified	bacteria modified xenobiotic						yes	yes	yes	yes	Galaxolidone, is a metabolite of galaxolide, a polycyclic musk widely used as a fragrance in personal care and consumer products including cosmetics, cleaning agents, detergents, air fresheners and perfumes.21 Galaxolidone results from the degradation of the parent compound galaxolide during biological activated sludge.	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83519;DOI: 10.1039/c4ew00104d
Spectral Match to Glycodeoxycholic acid from NIST14	Glycodeoxycholic acid	InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		
