"filename","X","Y","Z","Radii","1'-Hydroxymidazolam","2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine","2-Hydroxycarbamazepine","3-Hydroxymorphinan","4'-Hydroxydiclofenac","4-Acetamidoantipyrine","5-hydroxyomeprazole","Abacavir","Acarbose","Acetaminophen","Acetyl-sulfamethoxazole","Acipimox","Albendazole","Alfuzosin","Alibendol","Aliskiren","Amantadine","Aminocaproic acid","Amlodipine","Amoxicillin","Amphotericin A","Ampicillin","Antipyrine","Apatinib","Apixaban","Artemisinin","Atenolol","Atorvastatin","Atropine","Azithromycin","Aztreonam","Baclofen","Bamethan","Benzocaine","Betamethasone Dipropionate","Betamethasone Valerate","Busulfan","Candesartan","Candesartan Cilexetil","Carbamazepine","Carboxyibuprofen","Carglumic acid","Carteolol","Carvedilol","Cefprozil","Celecoxib","Cetirizine","Chloramphenicol","Chlorpheniramine","Ciprofloxacin","Citalopram","Clarithromycin","Climbazole","Clindamycin","Clopidogrel","Clopidogrel carboxylic acid","Clotrimazole","Clozapine","Cocaine","Cyclobenzaprine","Dabigatran","Dacarbazine","Dapoxetine","Dehydrocholic acid","Delta-9-tetrahydrocannabinol","Descladinose Azithromycin","Dexamethasone","Dexamethazone","Dexchlorpheniramine","Dextromethorphan","Dextromethorphan-d3","Dextrorphan","Diazepam","Diclofenac","Digoxin","Dihydroxycarbazepine","Dioctyl sulfosuccinate","Diphenhydramine","Diphenhydramine-N-glucuronide","Dipyridamole","Disulfiram","Dosulepin","Doxylamine","Dutasteride","Ebastine","Elvitegravir","Erythromycin","Erythromycin ethylsuccinate","Escitalopram","Ethenzamide","Ethinyl Estradiol","Etravirine","Exemestane","Famotidine","Febuxostat","Fenbendazole","Fenofibrate","Finasteride","Floxuridine","Fluanisone","Fludarabine","Flunixin","Fluvoxamine","Furosemide","Gabapentin","Glibenclamide","Guaifensin","Hemin","Hydrocortisone","Hydroxychloroquine","Ibuprofen","Imipramine","Indomethacin","Irbesartan","Isoprenaline","Ketamine","Ketoconazole","Labetalol","Lactulose","Lamotrigine","Levofloxacin","Levonorgestrel","Linezolid","Loperamide","Lopinavir","Loratadine","Lorazepam","Losartan","Losartan carboxaldehyde","Lovastatin","Mefenamic acid","Meloxicam","Methenamine","Methiazole","Methyl Fexofenadine","Methylatropine Nitrate","Methylprednisolone","Metoprolol","Metoprolol acid","Midazolam","Minoxidil","Mirabegron","Montelukast","Morphine","Moxifloxacin","Mycophenolate mofetil","Mycophenolic acid","N-Acetyl Mesalazine","N-Acetylsulfamethoxazole","N,O-didesmethylvenlafaxine","Nadifloxacin","Nadolol","Nalidixic acid","Naloxone","Nebivolol","Nefiracetam","Niclosamide","Nifenazone","Nimodipine","Norfloxacin","Norketamine","Nortriptyline","Nystatin","O-Desmethylvenlafaxine","Ofloxacin","Olmesartan medoxomil","Olopatadine","Omeprazole-d3","Omeprazole sulfide 5-carboxylic acid","Orlistat","Penicillamine disulfide","Phentolamine","Phenytoin","Physostigmine","Pralidoxime","Pranoprofen","Praziquantel","Pregabalin","Progesterone","Proguanil","Propranolol","Protirelin","Puromycin","Quinine","Raltegravir","Ranitidine","Ranitidine-S-oxide","Ranitidine N-oxide","Ranolazine","Rifampicin","Rifaximin","Ritodrine","Rocuronium","Salbutamol","Salmeterol","Sertraline","Sildenafil","Silodosin","Simvastatin","Sitagliptin","Sotalol","Specitinomycin","Sulfadiazine","Sulfadoxine","Sulfamethoxazole","Sulfapyridine","Sulfasalazine","Sulfisomidin","Sumatriptan","Tadalafil","Telmisartan","Temazepam","Terazosin","Terbinafine","Terbutaline","Tetracycline","Thiabendazole","Timolol","Tolazoline","Tolnaftate","Topiramate","Tramadol","Triamterene","Trimethoprim","Unoprostone","Valsartan","Venlafaxine","Venlafaxine N-oxide","Venlafaxine N-Oxide","Warfarin","Ziprasidone","Zolmitriptan","Zucapsaicin","n"
"anal region",95,3842,0,80,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0.314285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571428571,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"arm skin",3634,1672,0,80,0,0,0,0,0,0,0,0,0.00707130229817325,0,0.00235710076605775,0,0.0218031820860342,0,0.00353565114908662,0,0.00412492634060106,0,0,0.00294637595757219,0,0.00235710076605775,0,0,0,0,0,0,0,0.009428403064231,0,0.00353565114908662,0,0,0,0,0,0,0.00353565114908662,0,0.000589275191514437,0.000589275191514437,0,0,0,0,0,0.00117855038302887,0,0,0,0,0.000589275191514437,0,0,0,0,0,0,0,0,0.0100176782557454,0,0,0,0,0,0,0,0.0047142015321155,0,0,0,0,0.00353565114908662,0,0,0.00117855038302887,0,0,0.00176782557454331,0,0,0,0,0,0.0159104301708898,0,0,0,0.0276959340011785,0,0.00824985268120212,0,0,0,0.00176782557454331,0,0,0,0,0.0047142015321155,0,0.000589275191514437,0.0276959340011785,0,0,0,0,0,0,0,0,0,0.000589275191514437,0.000589275191514437,0.00412492634060106,0,0.184443134944019,0,0,0.000589275191514437,0,0,0,0,0,0,0,0,0,0,0,0.00117855038302887,0,0.051266941661756,0,0,0,0,0.00589275191514437,0,0,0,0,0,0.0371243370654095,0,0,0,0,0,0,0.000589275191514437,0,0,0,0.197407189157336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117855038302887,0,0,0.000589275191514437,0,0,0,0,0.00176782557454331,0,0,0,0,0,0.0978196817913966,0,0,0,0,0,0,0,0,0,0,0.000589275191514437,0,0,0,0.00117855038302887,0.0170889805539187,0.00117855038302887,0.0542133176193282,0,0,0,0.489687684148497,0,0,0,0,0,0,0.0129640542133176,0,0,0,0.000589275191514437,0.00176782557454331,0,0,0,0,0.000589275191514437,0.00117855038302887,0.0518562168532705,0.000589275191514437,0.00235710076605775,0,0,0,0.00766057748968768,1
"axilla skin",3634,1228,0,80,0,0,0,0,0,0,0,0,0,0,0.00449438202247191,0.00224719101123596,0,0,0.00112359550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112359550561798,0,0,0,0,0,0,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989,0,0,0.00224719101123596,0,0,0,0,0,0,0,0.00337078651685393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224719101123596,0,0,0.0943820224719101,0,0,0,0,0,0,0,0,0,0,0,0,0.00112359550561798,0,0,0,0,0,0,0.00337078651685393,0,0,0,0,0,0,0,0,0,0,0.0101123595505618,0,0,0,0,0.00561797752808989,0,0,0,0,0,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,0.0831460674157303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337078651685393,0,0.00112359550561798,0,0,0,0,0,0.117977528089888,0,0,0,0,0,0,0,0,0.00786516853932584,0,0,0,0,0,0,0.00449438202247191,0,0.0146067415730337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112359550561798,0,0.0112359550561798,0,0,0,0,0.00112359550561798,0,1
"blood plasma",95,1588,0,80,0,0,0,0,0,0,0,0,0.01036866359447,0.00115207373271889,0,0,0,0,0,0,0.206221198156682,0,0,0.00345622119815668,0,0,0,0,0,0,0,0,0,0.18778801843318,0,0,0,0,0,0,0,0,0,0,0.0956221198156682,0,0,0,0,0,0.00230414746543779,0,0,0,0.00345622119815668,0,0,0.00921658986175115,0,0,0,0,0,0,0,0,0,0,0,0.0195852534562212,0,0,0,0,0,0,0,0.00115207373271889,0,0,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115207373271889,0.426267281105991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0.00345622119815668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115207373271889,0.00230414746543779,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0,1
"blood serum",95,2157,0,80,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0.0150753768844221,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0,0.0351758793969849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452261306532663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"feces",95,3067,0,80,0.00634958667784833,0.00227626692224751,0.00035941056667066,0.00287528453336528,0.000599017611117767,0,0.000119803522223553,0.00131783874445909,0.00119803522223553,0,0,0,0.00107823170001198,0.000599017611117767,0,0.00119803522223553,0.0138972085779322,0.0103031029112256,0.000479214088894213,0.0131783874445909,0.00167724931112975,0.020126991733557,0.000239607044447107,0,0.000958428177788427,0.00131783874445909,0.0017970528333533,0.0113813346112376,0,0.0366598778004073,0.000599017611117767,0.00167724931112975,0,0,0,0,0.000119803522223553,0.00275548101114173,0.000599017611117767,0.000599017611117767,0.0189289565113214,0.000599017611117767,0.0017970528333533,0.00215646340002396,0.000119803522223553,0.00227626692224751,0.0222834551335809,0.00551096202228345,0.000119803522223553,0.0149754402779442,0.00311489157781239,0.000838624655564874,0,0.00251587396669462,0.00155744578890619,0.000479214088894213,0,0.000119803522223553,0.000119803522223553,0.000838624655564874,0.00119803522223553,0.000479214088894213,0.000239607044447107,0.0764346471786271,0.00119803522223553,0.00311489157781239,0.208577932191206,0.0125793698334731,0.000119803522223553,0.00299508805558883,0,0.00035941056667066,0.000239607044447107,0.000599017611117767,0.00814663951120163,0.000239607044447107,0.00443273032227147,0.00958428177788427,0.00551096202228345,0.000838624655564874,0.000119803522223553,0.000239607044447107,0,0,0,0.000479214088894213,0.0238409009224871,0.00035941056667066,0.00251587396669462,0,0.0071882113334132,0.000479214088894213,0.00263567748891817,0.0153348508446148,0.0202467952557805,0,0.000479214088894213,0.00035941056667066,0,0.00191685635557685,0.00395351623337726,0.000239607044447107,0.000239607044447107,0,0.0336647897448185,0.000239607044447107,0,0.0069486042889661,0.00167724931112975,0.00215646340002396,0,0,0.000239607044447107,0.0087456571223194,0.00035941056667066,0,0,0.00263567748891817,0.033784593267042,0.000119803522223553,0.000239607044447107,0.000838624655564874,0.000119803522223553,0.00119803522223553,0,0.00515155145561279,0.000838624655564874,0.00958428177788427,0.00191685635557685,0.00035941056667066,0,0.00035941056667066,0,0.000119803522223553,0.00383371271115371,0.000119803522223553,0.267281658080748,0.00071882113334132,0.00251587396669462,0.000119803522223553,0.00119803522223553,0.000239607044447107,0.00191685635557685,0.00035941056667066,0.00431292680004792,0.000479214088894213,0.0100634958667785,0.0111417275667905,0.00658919372229544,0.000479214088894213,0.00191685635557685,0.000479214088894213,0.000119803522223553,0.000119803522223553,0.00599017611117767,0.000119803522223553,0,0.0140170121001557,0.000119803522223553,0.000479214088894213,0.000479214088894213,0.000479214088894213,0.00251587396669462,0.000479214088894213,0.00766742542230742,0.00251587396669462,0,0.000119803522223553,0.0155744578890619,0.0017970528333533,0.00299508805558883,0.000838624655564874,0.00035941056667066,0.000119803522223553,0.00071882113334132,0.000119803522223553,0.00131783874445909,0.00311489157781239,0.00251587396669462,0.000119803522223553,0.000239607044447107,0.00107823170001198,0,0.0017970528333533,0.00431292680004792,0.140289924523781,0.00311489157781239,0.00167724931112975,0.000479214088894213,0.00155744578890619,0.00299508805558883,0.000239607044447107,0.000838624655564874,0.000958428177788427,0.00131783874445909,0.00862585360009584,0,0.000479214088894213,0,0.000239607044447107,0.00287528453336528,0.000958428177788427,0,0.0142566191446029,0.0109021205223434,0.000838624655564874,0.000838624655564874,0.135138373068168,0.0017970528333533,0.000479214088894213,0,0.000838624655564874,0.000119803522223553,0.00119803522223553,0,0.000838624655564874,0,0.000599017611117767,0.000479214088894213,0,0.00035941056667066,0.00035941056667066,0.000838624655564874,0.0329459686114772,0.00143764226668264,0.022523062178028,0.00347430214448305,0,0,0.000119803522223553,0.000479214088894213,0,0.000239607044447107,1
"head or neck skin",3634,245,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844951415293621,0,0,0,0,0,0,0,0.00042247570764681,0.00042247570764681,0,0.00506970849176172,0,0,0,0,0,0.00295732995352767,0,0,0,0.00126742712294043,0.00042247570764681,0,0.0122517955217575,0,0.00126742712294043,0.00042247570764681,0.00042247570764681,0,0,0,0,0.0135192226446979,0.00042247570764681,0,0.00295732995352767,0,0.000844951415293621,0.0295732995352767,0,0,0.00591465990705534,0.00042247570764681,0,0,0,0.000844951415293621,0,0,0.000844951415293621,0,0.00042247570764681,0,0.00042247570764681,0.00887198986058302,0,0,0,0.00168990283058724,0,0,0.033375580904098,0.0101394169835234,0,0,0.00168990283058724,0,0.00253485424588086,0.00042247570764681,0,0,0,0,0.000844951415293621,0,0.0118293198141107,0,0.00844951415293621,0,0.308829742289818,0,0,0,0.00042247570764681,0,0.0181664554288128,0.0299957752429235,0,0,0.026615969581749,0,0.00042247570764681,0,0.00042247570764681,0,0.000844951415293621,0.00042247570764681,0.00464723278411491,0.00042247570764681,0.00168990283058724,0.00549218419940853,0.0130967469370511,0.00168990283058724,0.00168990283058724,0,0,0.0173215040135192,0,0,0,0,0,0,0,0.00042247570764681,0.00042247570764681,0,0.00168990283058724,0,0,0.0278833967046895,0.000844951415293621,0,0,0,0.0080270384452894,0.000844951415293621,0,0,0,0,0.0105618926911703,0,0,0,0.00887198986058302,0,0,0.00253485424588086,0,0.0042247570764681,0.000844951415293621,0.198563582594001,0,0,0.00168990283058724,0,0,0,0,0,0.00295732995352767,0,0,0,0,0.00168990283058724,0,0,0.000844951415293621,0,0,0.00168990283058724,0,0,0,0.017743979721166,0.000844951415293621,0,0,0.315589353612167,0,0,0,0,0,0.0080270384452894,0,0.00126742712294043,0.00295732995352767,0,0,0,0.00211237853823405,0,0.00844951415293621,0.00506970849176172,0,0.00295732995352767,0.00042247570764681,0,0.00042247570764681,0,0,0,0.00042247570764681,0,0,0,0.00337980566117448,0,0.0042247570764681,0.00211237853823405,0.00337980566117448,0,0,0.000844951415293621,0,0.00506970849176172,0,0,0.0105618926911703,0.00042247570764681,0,0,0,0,0.00126742712294043,1
"milk",95,1180,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00742942050520059,0,0,0,0,0,0,0,0.0282317979197623,0,0,0,0,0,0,0,0,0,0,0.00594353640416048,0,0,0,0,0,0.011887072808321,0,0,0,0.0104011887072808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148588410104012,0,0,0,0.00297176820208024,0,0,0,0,0,0,0,0.00148588410104012,0,0,0,0,0,0,0,0,0.00148588410104012,0,0.0193164933135215,0,0.00297176820208024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297176820208024,0,0,0,0,0,0,0,0,0,0,0,0,0.00148588410104012,0.616641901931649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148588410104012,0,0,0,0,0,0,0,0,0,0.00148588410104012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148588410104012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148588410104012,0,0,0.0698365527488856,0,0,0.00148588410104012,2.12927191679049,0,0,0,0,0,0,0.00148588410104012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"nasal cavity",95,160,0,80,0,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0.036231884057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275362319,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0.318840579710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275362319,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0,0.0144927536231884,0.0072463768115942,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0.0072463768115942,0,0.22463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,1
"not applicable",95,4150,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217983651226158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174386920980926,0,0,0,0.00577656675749319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
