filename	ATTRIBUTE_BodySite	ATTRIBUTE_BodyHabitat
Cl.Blank.1A1.empty	Not applicable	UBERON:blank
Cl.V1.1A2.Blank	Not applicable	UBERON:blank
Cl.V1.1A3.RA	UBERON:axilla	UBERON:skin
Cl.V1.1A4.LA	UBERON:axilla	UBERON:skin
Cl.V1.1A5.C	UBERON:skin of chest	UBERON:skin
Cl.V1.1A6.UB	UBERON:skin of back	UBERON:skin
Cl.V1.1A7.LB	UBERON:skin of back	UBERON:skin
Cl.V6.1A8.Blank	Not applicable	UBERON:blank
Cl.V6.1A9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.1A10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.1A11.C	UBERON:skin of chest	UBERON:skin
Cl.V6.1A12.UB	UBERON:skin of back	UBERON:skin
Cl.V6.1B1.LB	UBERON:skin of back	UBERON:skin
Cl.V2.1B2.Blank	Not applicable	UBERON:blank
Cl.V2.1B3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V2.1B4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V2.1B5.C	UBERON:skin of chest	UBERON:skin
Cl.V2.1B6.UB	UBERON:skin of back	UBERON:skin
Cl.V2.1B7.LB	UBERON:skin of back	UBERON:skin
Cl.V3.1B8.Blank	Not applicable	UBERON:blank
Cl.V3.1B9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V3.1B10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V3.1B11.C	UBERON:skin of chest	UBERON:skin
Cl.V3.1B12.UB	UBERON:skin of back	UBERON:skin
Cl.V3.1C1.LB	UBERON:skin of back	UBERON:skin
Cl.V4.1C2.Blank	Not applicable	UBERON:blank
Cl.V4.1C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V4.1C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V4.1C5.C	UBERON:skin of chest	UBERON:skin
Cl.V4.1C6.UB	UBERON:skin of back	UBERON:skin
Cl.V4.1C7.LB	UBERON:skin of back	UBERON:skin
Cl.V5.1C8.Blank	Not applicable	UBERON:blank
Cl.V5.1C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.1C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.1C11.C	UBERON:skin of chest	UBERON:skin
Cl.V5.1C12.UB	UBERON:skin of back	UBERON:skin
Cl.V5.1D1.LB	UBERON:skin of back	UBERON:skin
Cl.V9.1D2.Blank	Not applicable	UBERON:blank
Cl.V9.1D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.1D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.1D5.C	UBERON:skin of chest	UBERON:skin
Cl.V9.1D6.UB	UBERON:skin of back	UBERON:skin
Cl.V9.1D7.LB	UBERON:skin of back	UBERON:skin
Cl.V8.1D8.Blank	Not applicable	UBERON:blank
Cl.V8.1D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.1D10.LA	UBERON:skin of armpit	UBERON:skin
