filename	Subject	Timepoint	ATTRIBUTE_BodyPart	Side
10A1_RA1_01_14442.mzXML	Blank	Blank	Blank	Blank
10A10_RA10_01_14477.mzXML	Volunteer 6	Time3	Armpit	Left
10A11_RA11_01_14462.mzXML	Volunteer 6	Time3	Arm	Right
10A12_RA12_01_14463.mzXML	Volunteer 6	Time3	Arm	Right
10A2_RA2_01_14443.mzXML	Blank	Time3	Blank	
10A3_RA3_01_14458.mzXML	Volunteer 6	Time3	Face	Right
10A4_RA4_01_14459.mzXML	Volunteer 6	Time3	Face	Right
10A5_RA5_01_14460.mzXML	Volunteer 6	Time3	Face	Left
10A6_RA6_01_14461.mzXML	Volunteer 6	Time3	Face	Left
10A7_RA7_01_14474.mzXML	Volunteer 6	Time3	Armpit	Right
10A8_RA8_01_14475.mzXML	Volunteer 6	Time3	Armpit	Right
10A9_RA9_01_14476.mzXML	Volunteer 6	Time3	Armpit	Left
10B1_RB1_01_14464.mzXML	Volunteer 6	Time3	Arm	Left
10B10_RB10_01_14446.mzXML	Volunteer 12	Time3	Face	Left
10B11_RB11_01_14447.mzXML	Volunteer 12	Time3	Face	Left
10B12_RB12_01_14480.mzXML	Volunteer 12	Time3	Armpit	Right
10B2_RB2_01_14465.mzXML	Volunteer 6	Time3	Arm	Left
10B3_RB3_01_14466.mzXML	Volunteer 6	Time3	Foot	Right
10B4_RB4_01_14467.mzXML	Volunteer 6	Time3	Foot	Right
10B5_RB5_01_14468.mzXML	Volunteer 6	Time3	Foot	Left
10B6_RB6_01_14469.mzXML	Volunteer 6	Time3	Foot	Left
10B8_RB8_01_14444.mzXML	Volunteer 12	Time3	Face	Right
10B9_RB9_01_14445.mzXML	Volunteer 12	Time3	Face	Right
10C1_RC1_01_14481.mzXML	Volunteer 12	Time3	Armpit	Right
10C10_RC10_01_14454.mzXML	Volunteer 12	Time3	Foot	Left
10C11_RC11_01_14455.mzXML	Volunteer 12	Time3	Foot	Left
10C12_RC12_01_14456.mzXML	Blank	Time3	Blank	
10C2_RC2_01_14482.mzXML	Volunteer 12	Time3	Armpit	Left
10C3_RC3_01_14483.mzXML	Volunteer 12	Time3	Armpit	Left
10C4_RC4_01_14448.mzXML	Volunteer 12	Time3	Arm	Right
10C5_RC5_01_14449.mzXML	Volunteer 12	Time3	Arm	Right
10C6_RC6_01_14450.mzXML	Volunteer 12	Time3	Arm	Left
10C7_RC7_01_14451.mzXML	Volunteer 12	Time3	Arm	Left
10C8_RC8_01_14452.mzXML	Volunteer 12	Time3	Foot	Right
10C9_RC9_01_14453.mzXML	Volunteer 12	Time3	Foot	Right
11A1_BA1_01_32990.mzXML	Blank	Time3	Blank	
11A1_RA1_01_12908.mzXML	Blank	Time4	Blank	
11A10_BA10_01_33002.mzXML	Volunteer 1	Time4	Armpit	Left
11A11_RA11_01_12914.mzXML	Volunteer 1	Time4	Arm	Right
11A12_RA12_01_12915.mzXML	Volunteer 1	Time4	Arm	Right
11A2_BA2_01_32991.mzXML	Blank	Time3	Blank	
11A2_RA2_01_12909.mzXML	Blank	Time4	Blank	
11A3_RA3_01_12910.mzXML	Volunteer 1	Time4	Face	Right
11A4_RA4_01_12911.mzXML	Volunteer 1	Time4	Face	Right
